filename,title,year,manufacturer,rpi2,rpi3,bios,notes
005,5,1981,Sega,ok,ok,,
1941,1941 - Counter Attack ,1990,Capcom,ok,ok,,`
1941j,1941 - Counter Attack ,1990,Capcom,ok,ok,,
1942,1942,1984,Capcom,ok,ok,,
1942a,1942,1984,Capcom,untested,ok,,
1942b,1942,1984,Capcom,ok,ok,,
1943,1943 - The Battle of Midway ,1987,Capcom,ok,ok,,
1943j,1943 - The Battle of Midway ,1987,Capcom,doesn't work,untested,,
1943kai,1943 Kai - Midway Kaisen,1987,Capcom,ok,ok,,3000
1944,1944: The Loop Master ,2000,Capcom,ok,doesn't work,,
1944j,1944: The Loop Master ,2000,Capcom,untested,ok,,
19xx,19XX: The War Against Destiny ,1996,Capcom,ok,has issues,,"
"
19xxa,19XX: The War Against Destiny ,1996,Capcom,untested,ok,,
19xxh,19XX: The War Against Destiny ,1996,Capcom,untested,ok,, 
19xxj,19XX: The War Against Destiny ,1996,Capcom,untested,ok,,
19xxjr1,19XX: The War Against Destiny ,1996,Capcom,untested,ok,,
2020bb,2020 Super Baseball ,1991,SNK,ok,ok,neogeo,
2020bbh,2020 Super Baseball ,1991,SNK,untested,ok,,
280zzzap,Datsun 280 Zzzap,1976,Midway,has issues,has issues,,
3countb,3 Count Bout ,1993,SNK,ok,ok,neogeo,
3in1semi,3-in-1 ,1997,SemiCom,ok,ok,,
3kokushi,Sankokushi ,1996,Mitchell,ok,has issues,,
3stooges,The Three Stooges In Brides Is Brides,1984,Mylstar,ok,ok,,
3wonders,Three Wonders ,1991,Capcom,ok,ok,,No sound
3wonderu,Three Wonders ,1991,Capcom,ok,ok,,
40love,Forty-Love,1984,Taito Corporation,ok,ok,,doesn't boot. Boots fine with 3B+.
47pie2,Idol Janshi Su-Chi-Pie 2 ,1994,Jaleco,ok,ok,,Lacks Sound
47pie2o,Idol Janshi Su-Chi-Pie 2 ,1994,Jaleco,ok,ok,,
4dwarrio,4-D Warriors,1985,Coreland,ok,ok,,
4enraya,4 En Raya,1990,IDSA,ok,ok,,
4in1,4 Fun in 1,1981,Armenia,ok,ok,,
4in1boot,4-in-1 bootleg,,bootleg,has issues,ok,,Sno Bros hardware- Bad dump means only 2 of 4 bootlegs work
600,600,1981,Konami,ok,ok,,
64streej,64th. Street - A Detective Story ,1991,Jaleco,ok,ok,,
64street,64th. Street - A Detective Story ,1991,Jaleco,ok,ok,,
720,720 Degrees ,1986,Atari Games,ok,ok,,
720g,720 Degrees ,1986,Atari Games,ok,ok,,
720gr1,720 Degrees ,1986,Atari Games,doesn't work,ok,,
720r1,720 Degrees ,1986,Atari Games,doesn't work,ok,,
720r2,720 Degrees ,1986,Atari Games,doesn't work,ok,,
720r3,720 Degrees ,1986,Atari Games,doesn't work,ok,,
7jigen,7jigen no Youseitachi - Mahjong 7 Dimensions ,1990,Dynax,ok,ok,,
7toitsu,Chi-Toitsu,1988,Yuga,ok,ok,,"
"
800fath,800 Fathoms,1981,Amenip,ok,ok,,
88games,88 Games,1988,Konami,ok,ok,,
8ball,Video Eight Ball,1982,Century Electronics,ok,has issues,,inaccurate sound emulation pi3
8ball1,Video Eight Ball ,1982,Century Electronics,ok,has issues,,inaccurate sound emulation pi3
8ballact,Eight Ball Action ,1984,Seatongrove Ltd,ok,ok,,
8ballat2,Eight Ball Action ,1984,Seatongrove Ltd,ok,ok,,
8bpm,Eight Ball Action ,1985,Seatongrove Ltd,ok,ok,,inaccurate colours pi3
99lstwar,99: The Last War,1985,Proma,ok,ok,,Not working on my system Fitz
99lstwra,99: The Last War ,1985,Proma,ok,ok,,Not working on my system Fitz
9ballsh2,9-Ball Shootout ,1993,E-Scape EnterMedia,untested,doesn't work,,game_not_working
9ballsh3,9-Ball Shootout ,1993,E-Scape EnterMedia,doesn't work,doesn't work,,game_not_working
9ballsht,9-Ball Shootout ,1993,E-Scape EnterMedia,doesn't work,doesn't work,,game_not_working
a51mxr3k,Area 51 ,1998,Atari Games,untested,has issues,,needs CHD
aafb,All American Football ,1989,Leland Corp.,has issues,has issues,,Video issues
aafbb,All American Football ,1989,Leland Corp.,doesn't work,has issues,,game doesnt continue
aafbc,All American Football ,1989,Leland Corp.,doesn't work,ok,,
aafbd2p,All American Football ,1989,Leland Corp.,doesn't work,ok,,
abaseb,Atari Baseball ,1979,Atari,ok,ok,,
abaseb2,Atari Baseball ,1979,Atari,ok,,,
aburner,After Burner ,1987,Sega,ok,ok,,
aburner2,After Burner II,1987,Sega,ok,ok,,
ace,Ace,1976,Allied Leisure,ok,has issues,,no sound and inaccurate colours pi3
aceattac,Ace Attacker,,Sega,doesn't work,doesn't work,,game_not_working
acedrvrw,Ace Driver ,1994,Namco,doesn't work,doesn't work,,game_not_working
acitya,Atlantic City Action,1983,Epos Corporation,has issues,ok,,
acrobatm,Acrobat Mission,1991,UPL,has issues,has issues,,game lacks sound
actfanc1,Act-Fancer Cybernetick Hyper Weapon ,1989,Data East Corporation,ok,ok,,
actfancj,Act-Fancer Cybernetick Hyper Weapon ,1989,Data East Corporation,ok,ok,,Tested working 01/01/2018
actfancr,Act-Fancer Cybernetick Hyper Weapon ,1989,Data East Corporation,ok,ok,,
aeroboto,Aeroboto,1984,Jaleco,ok,ok,,
aerofgt,Aero Fighters,1992,Video System Co.,ok,ok,,
aerofgtb,Aero Fighters ,1992,Video System Co.,doesn't work,ok,,
aerofgtc,Aero Fighters ,1992,Video System Co.,ok,ok,,
afighter,Action Fighter,,Sega,doesn't work,doesn't work,,game_not_working
agallet,Air Gallet,1996,Banpresto,ok,ok,,No game sound as of 01/01/2018
ainferno,Air Inferno ,1990,Taito America Corporation,untested,doesn't work,,
airbustj,Air Buster ,1990,Kaneko,ok,ok,,
airbustr,Air Buster,1990,Kaneko,ok,ok,,Working as of 01/01/2018
airco22b,Air Combat 22 ,1995,Namco,doesn't work,doesn't work,,game_not_working
aircombj,Air Combat ,1992,Namco,untested,has issues,,
aircombu,Air Combat ,1992,Namco,untested,has issues,,has control isues
airduel,Air Duel ,1990,Irem,ok,ok,,Working as of 01/01/2018
airraid,Air Raid ,1987,Seibu Kaihatsu,doesn't work,doesn't work,,game_not_working
airwolf,Airwolf,1987,Kyugo,has issues,ok,,"pi2: works good but sound is glitchy ingame not in menu, pi3: fine"
ajax,Ajax,1987,Konami,ok,ok,,
ajaxj,Ajax ,1987,Konami,ok,ok,,
akiss,Mahjong Angel Kiss,1995,Jaleco,ok,has issues,,
akkanvdr,Akkanvader ,1995,Taito Corporation,ok,has issues,,
alcon,Alcon,1986,<unknown>,doesn't work,doesn't work,,game_not_working
alexkida,Alex Kidd: The Lost Stars ,1986,Sega,ok,ok,,
alexkidd,Alex Kidd: The Lost Stars ,1986,Sega,doesn't work,doesn't work,,game_not_working. mame2010 version works pi3
alibaba,Ali Baba and 40 Thieves,1982,Sega,ok,has issues,,colours wrong
alien3,AlienӺ The Gun,1993,Sega,has issues,has issues,,"Graphical errors, such as bad sprite layering, flickering"
alieninv,Alien Invasion Part II,,bootleg,ok,ok,,
aliens,Aliens ,1990,Konami,ok,ok,,
aliens2,Aliens ,1990,Konami,ok,ok,,
aliensj,Aliens ,1990,Konami,ok,ok,,
aliensu,Aliens ,1990,Konami,ok,ok,,
aliensya,Alien Syndrome ,1987,Sega,doesn't work,doesn't work,,game_not_working / pi3 - shows green garbage on screen
aliensyb,Alien Syndrome ,1987,Sega,doesn't work,doesn't work,,game_not_working / pi3 - shows red diagnal squares that change color
aliensyj,Alien Syndrome ,1987,Sega,doesn't work,doesn't work,,game_not_working / pi3 - shows green garbage on screen
aliensyn,Alien Syndrome ,1987,Sega,ok,ok,,
aligator,Alligator Hunt,1994,Gaelco,doesn't work,doesn't work,,no enemies appear
aligatun,Alligator Hunt ,1994,Gaelco,doesn't work,ok,,
alleymas,Alley Master,1986,Cinematronics,ok,ok,,"
"
alphaho,Alpha Fighter ,,Data East Corporation,ok,has issues,,colours wrong pi3
alpham2,Alpha Mission II ,1991,SNK,ok,ok,neogeo,
alphaona,Alpha One ,1983,Atari,ok,ok,,
alphaone,Alpha One ,1983,Atari,ok,ok,,
alphaxz,The Alphax Z ,1986,Ed,untested,ok,,
alpine,Alpine Ski ,1982,Taito Corporation,ok,ok,,
alpinea,Alpine Ski ,1982,Taito Corporation,ok,ok,,
alpinerc,Alpine Racer ,1995,Namco,doesn't work,doesn't work,,game_not_working
alpinerd,Alpine Racer ,1995,Namco,doesn't work,doesn't work,,game_not_working
altbeas2,Altered Beast ,1988,Sega,has issues,has issues,,Same Issues as version 1
altbeast,Altered Beast ,1988,Sega,has issues,has issues,,
amatelas,Sei Senshi Amatelass,1986,Nichibutsu,ok,ok,,
amazon,Soldier Girl Amazon,1986,Nichibutsu,ok,ok,,urning for
ambush,Ambush,1983,Nippon Amuse Co-Ltd,ok,ok,,
ambusht,Ambush ,1983,Tecfri,ok,ok,,ri
amerdart,AmeriDarts,1989,Ameri,doesn't work,has issues,,"Video issues, colors distortion"
amidar,Amidar,1981,Konami,ok,ok,,.
amidaro,Amidar ,1982,Konami,doesn't work,ok,,
amidars,Amidar ,1982,Konami,doesn't work,ok,,
amidaru,Amidar ,1982,Konami,doesn't work,ok,,
amigo,Amigo,1982,bootleg,doesn't work,ok,,
amspdwy,American Speedway ,1987,Enerdyne Technologies,ok,ok,,
amspdwya,American Speedway ,1987,Enerdyne Technologies,ok,ok,,
androdun,Andro Dunos,1992,Visco,ok,ok,neogeo,
andromed,Andromeda ,1979,Irem,doesn't work,doesn't work,,r
angelkds,Angel Kids ,1988,Sega,ok,ok,,sound volume very low
anteater,Anteater,1982,Stern,ok,ok,,
aodk,Aggressors of Dark Kombat ,1994,ADK,untested,ok,neogeo,
aof,Art of Fighting ,1992,SNK,ok,ok,neogeo,
aof2,Art of Fighting 2 ,1994,SNK,ok,ok,neogeo,
aof3,Art of Fighting 3 - The Path of the Warrior ,1996,SNK,ok,ok,neogeo,
apb,APB - All Points Bulletin ,1987,Atari Games,untested,ok,,
apb1,APB - All Points Bulletin ,1987,Atari Games,untested,ok,,
apb2,APB - All Points Bulletin ,1987,Atari Games,untested,ok,,
apb3,APB - All Points Bulletin ,1987,Atari Games,untested,ok,,
apb4,APB - All Points Bulletin ,1987,Atari Games,untested,ok,,
apb5,APB - All Points Bulletin ,1987,Atari Games,untested,ok,,
apb6,APB - All Points Bulletin ,1987,Atari Games,untested,ok,,
apbf,APB - All Points Bulletin ,1987,Atari Games,untested,ok,,
apbg,APB - All Points Bulletin ,1987,Atari Games,untested,ok,,
aponow,Apocaljpse Now,1982,bootleg,ok,ok,,
apparel,Apparel Night ,1986,Central Denshi,ok,ok,,
appoooh,Appoooh,1984,Sanritsu Sega,ok,ok,,
aquajack,Aqua Jack ,1990,Taito Corporation Japan,ok,ok,,
aquajckj,Aqua Jack ,1990,Taito Corporation,ok,ok,,
aquarium,Aquarium ,1996,Excellent System,ok,has issues,,sound is a little off 
aquarush,Aqua Rush ,1999,Namco,untested,has issues,,"no sound, 50% of screen, vs mode has major graphical glitches"
arabfgt,Arabian Fight,1992,Sega,has issues,ok,,"not playable, very laggy,"
arabiamj,Arabian Magic ,1992,Taito Corporation,ok,ok,,
arabiamu,Arabian Magic ,1992,Taito America Corporation,ok,ok,,
arabian,Arabian,1983,Sun Electronics,ok,ok,,
arabiana,Arabian ,1983,Sun Electronics,ok,ok,,
arabianm,Arabian Magic ,1992,Taito Corporation Japan,ok,ok,,runs slow
arbalest,Arbalester,1989,Seta,ok,ok,,
arcadecl,Arcade Classics ,1992,Atari Games,ok,ok,,
